ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"358755";"MISOPROSTOL, CONCENTRAÇAO:200 MCG, FORMA FARMACÊUTICA:COMPRIMIDO VAGINAL";"COMPRIMIDO";"N";"1155700440053";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"07.752.236/0001-23";"MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A";"08.939.548/0001-03";"INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A";"3400";"47.91";"162894.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"287687";"EFEDRINA, APRESENTAÇÃO:SULFATO, DOSAGEM:50 MG/ML, APLICAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1029801980023";"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"44.734.671/0022-86";"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"44.734.671/0001-51";"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"3500";"4.58";"16030.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"276657";"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:50 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA";"COMPRIMIDO";"S";"1438102800136";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"12.889.035/0001-02";"INOVAMED HOSPITALAR LTDA";"02.814.497/0001-07";"CIMED INDUSTRIA S.A.";"9000";"0.4784";"4305.6"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"279297";"NISTATINA, APRESENTAÇÃO:ASSOCIADA COM ÓXIDO DE ZINCO, CONCENTRAÇÃO:100.000UI + 200MG/G, TIPO MEDICAMENTO:CREME";"BISNAGA";"N";"1256801380026";"Pregão";"ADMINISTRATIVA";"60.0";"G";"BISNAGA 60.00 G";"81.706.251/0001-98";"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA";"73.856.593/0001-66";"PRATI, DONADUZZI & CIA LTDA";"2000";"7.31";"14620.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"305935";"PROPOFOL, DOSAGEM:10 MG/ML, FORMA FARMACÊUTICA:EMULSÃO INJETÁVEL";"FRASCO";"S";"1004101600060";"Pregão";"ADMINISTRATIVA";"100.0";"ML";"FRASCO 100.00 ML";"49.324.221/0001-04";"FRESENIUS KABI BRASIL LTDA.";"49.324.221/0001-04";"FRESENIUS KABI BRASIL LTDA.";"15000";"110.0";"1650000.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"276283";"DESLANÓSIDO, DOSAGEM:0,2 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1049712290018";"Pregão";"ADMINISTRATIVA";"2.0";"ML";"AMPOLA 2.00 ML";"12.889.035/0001-02";"INOVAMED HOSPITALAR LTDA";"60.665.981/0001-18";"UNIAO QUIMICA FARMACEUTICA NACIONAL S A";"760";"2.13";"1618.8"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"330113";"GANCICLOVIR SÓDICO, DOSAGEM:1 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL";"BOLSA";"N";"1031101000206";"Pregão";"ADMINISTRATIVA";"100.0";"ML";"BOLSA 100.00 ML";"01.571.702/0001-98";"HALEX ISTAR INDUSTRIA FARMACEUTICA SA";"01.571.702/0001-98";"HALEX ISTAR INDUSTRIA FARMACEUTICA SA";"400";"45.92";"18368.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"269460";"ÁCIDO URSODESOXICÓLICO, CONCENTRAÇÃO:150 MG";"COMPRIMIDO";"N";"1468200980068";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"92.963.560/0001-60";"MUNICIPIO DE PORTO ALEGRE";"05.035.244/0001-23";"SUN FARMACEUTICA DO BRASIL LTDA";"2500";"1.05";"2625.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"268501";"NALBUFINA CLORIDRATO, DOSAGEM:10 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1029802840071";"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"44.734.671/0022-86";"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"44.734.671/0001-51";"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"400";"12.43";"4972.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"268575";"DESMOPRESSINA ACETATO, DOSAGEM:4 MCG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1287600150041";"Pregão";"ADMINISTRATIVA";"1.0";"ML";"AMPOLA 1.00 ML";"04.307.650/0012-98";"ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.";"74.232.034/0001-48";"LABORATORIOS FERRING LTDA";"1800";"29.67";"53406.0"
"2026";"MUNICIPIO DE PORTO ALEGRE";"MUNICIPAL";"92.963.560/0001-60";"PORTO ALEGRE";"RS";"09/02/2026";"19/02/2026";"335091";"ACETILCISTEÍNA, DOSAGEM:100 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL";"AMPOLA";"N";"1049711490021";"Pregão";"ADMINISTRATIVA";"3.0";"ML";"AMPOLA 3.00 ML";"12.889.035/0001-02";"INOVAMED HOSPITALAR LTDA";"60.665.981/0001-18";"UNIAO QUIMICA FARMACEUTICA NACIONAL S A";"3600";"4.13";"14868.0"
"2026";"MUNICIPIO DE OURO PRETO DO OESTE";"MUNICIPAL";"04.380.507/0001-79";"OURO PRETO DO OESTE";"RO";"10/02/2026";"27/02/2026";"463220";"SULFATO DE ZINCO, CONCENTRAÇÃO:4 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO ORAL";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"100.0";"ML";"FRASCO 100.00 ML";"51.116.518/0001-26";"RX COMERCIO DE MEDICAMENTOS, DISTRIBUIDORA E SERVICOS LTDA";"33.150.764/0001-12";"BIOLAB FARMA GENERICOS LTDA";"1000";"14.48";"14480.0"
